BioWare Version 5.3.2.9 Export,,,
Device:,Force Plate 2 9281CA (SN>616901),Force Plate 2 9281CA (SN>616901),Force Plate 2 9281CA (SN>616901)
Samples (#):,9563,9563,9563
Rate (Hz):,1000,1000,1000
Contact period start (sample #):,0,0,0
Contact period end (sample #):,9551,9551,9551
Contact period start time (s):,0,0,0
Contact period end time (s):,9.551,9.551,9.551
First sample time (s):,0,0,0
Normalized force (N):,800,800,800
Normalized length (m):,1,1,1
File Information,,,
Date,"Jun 20, 2019  10:27:20",,
Name,,,
ID,,,
Classification,,,
Description,,,
abs time (s),Fx,Fy,Fz
,N,N,N
0.424,36.877146,-122.231697,1557.863434
0.425,36.394148,-122.389214,1541.905396
0.426,35.749466,-122.024036,1523.882401
0.427,34.782314,-121.658863,1507.445709
0.428,34.097882,-120.851749,1489.596863
0.429,33.171248,-120.16621,1471.082565
0.43,32.243975,-119.240185,1453.861542
0.431,31.397989,-118.592812,1435.67807
0.432,30.027081,-117.34642,1417.648407
0.433,28.817471,-116.340527,1398.521744
0.434,27.285775,-115.013382,1381.284561
0.435,26.196819,-113.526508,1361.202637
0.436,24.866172,-111.957542,1343.491165
0.437,23.455258,-110.067326,1322.132507
0.438,21.963568,-108.540066,1304.267685
0.439,20.552399,-106.45063,1284.013351
0.44,19.221495,-104.279545,1265.665573
0.441,17.648901,-102.030361,1247.142609
0.442,16.277864,-99.258495,1229.262512
0.443,14.987477,-97.089186,1209.021255
0.444,13.858133,-94.47794,1193.191513
0.445,12.608261,-91.627539,1175.148575
0.446,11.318259,-88.695492,1156.467163
0.447,10.229047,-85.684462,1137.323471
0.448,8.978921,-83.034172,1119.904434
0.449,7.567496,-79.944162,1103.123856
0.45,6.357502,-76.571507,1084.289993
0.451,5.349451,-73.079493,1066.711243
0.452,3.817372,-70.070684,1049.926682
0.453,3.131151,-66.338624,1029.979614
0.454,1.639716,-63.087544,1012.565323
0.455,0.469983,-59.757488,994.183762
0.456,-0.336509,-56.225984,976.143524
0.457,-1.506625,-52.81473,957.618591
0.458,-2.11143,-49.485116,940.192825
0.459,-2.757391,-45.875963,921.349335
0.46,-3.6044,-42.786395,904.411568
0.461,-4.249593,-39.458559,884.456627
0.462,-5.096601,-36.76922,866.881401
0.463,-5.661273,-33.762631,850.249893
0.464,-6.751125,-31.075065,830.768822
0.465,-7.113982,-28.50908,811.610855
0.466,-7.759687,-25.823292,792.769852
0.467,-8.082795,-23.096683,775.825722
0.468,-8.52643,-20.731256,757.136063
0.469,-9.252528,-18.366716,739.406639
0.47,-9.656414,-16.082045,721.348259
0.471,-10.140437,-13.837751,702.981789
0.472,-10.706004,-11.994128,686.512268
0.473,-11.068862,-10.191327,667.667839
0.474,-11.391842,-8.387638,651.510345
0.475,-11.593401,-6.505414,632.199532
0.476,-11.795216,-5.104173,616.043037
0.477,-12.158712,-3.339974,597.833885
0.478,-12.199357,-1.979554,580.256676
0.479,-12.602603,-0.498889,562.514877
0.48,-12.643375,1.302136,543.516502
0.481,-12.966355,2.663887,526.250191
0.482,-13.006872,4.106393,508.045387
0.483,-13.128294,5.787618,488.882568
0.484,-13.088033,7.150256,471.307175
0.485,-13.330492,8.751167,450.395737
0.486,-13.330364,10.111587,431.555698
0.487,-12.605416,11.751101,414.287434
0.488,-12.807103,12.710849,391.173317
0.489,-12.444885,14.673386,372.640846
0.49,-11.719298,15.913559,353.164165
0.491,-11.356952,17.433714,333.692932
0.492,-10.671626,18.755532,311.833717
0.493,-10.268508,19.915838,293.304459
0.494,-9.946806,20.9945,273.192326
0.495,-9.30174,21.873937,252.93166
0.496,-8.011609,22.391304,232.335491
0.497,-7.326539,23.18954,212.391642
0.498,-6.076412,23.867974,194.016296
0.499,-5.471735,24.063207,175.167509
0.5,-4.302641,23.939409,156.481344
0.501,-3.254202,23.89415,138.436184
0.502,-1.721611,23.369237,122.272814
0.503,-0.229537,23.00495,106.283311
0.504,1.141627,22.59984,92.188182
0.505,3.077207,21.754124,77.935776
0.506,4.368106,21.148012,65.428839
0.507,6.384591,20.384384,53.394131
0.508,7.837044,19.498734,44.208655
0.509,8.724825,18.93522,35.970303
0.51,9.773648,18.611753,28.362665
0.511,10.742077,17.567255,24.565608
0.512,11.306494,16.080819,16.009874
0.513,11.670119,15.075812,12.846826
0.514,11.42881,12.748098,10.463622
0.515,10.986071,10.661321,7.144869
0.516,10.301384,8.896679,6.347672
0.517,9.415394,7.331707,5.232932
0.518,8.044613,6.047161,3.818451
0.519,6.875903,5.04526,2.704682
0.52,5.546663,4.242585,2.376777
0.521,4.700038,3.882291,-0.473618
0.522,3.974962,3.963047,-1.588523
0.523,3.33028,3.561044,-1.909553
0.524,2.927546,3.802867,-0.642919
0.525,2.483783,4.04469,0.620469
0.526,2.725859,4.006088,-0.807089
0.527,2.886902,4.325116,-0.802178
0.528,3.531839,4.084624,-0.005771
0.529,3.934574,4.162717,0.152939
0.53,4.136644,4.243473,0.470415
0.531,4.418469,4.123671,-0.485915
0.532,4.297431,3.88096,0.784185
0.533,4.257426,4.084181,-1.118731
0.534,3.934446,3.842357,-0.317143
0.535,3.974834,3.842357,-0.326801
0.536,4.096128,3.924001,0.782183
0.537,3.93483,3.803311,-1.907406
0.538,3.773275,3.964822,0.308827
0.539,3.773531,3.883623,-0.796256
0.54,4.338075,3.803311,-1.112337
0.541,4.297175,3.883623,-0.485231
0.542,4.418469,3.883623,1.260698
0.543,4.095233,3.924888,1.103895
0.544,4.055484,3.844576,-0.951923
0.545,4.176393,4.20487,-0.162612
0.546,4.176649,3.723887,0.147276
0.547,4.216654,4.04469,0.782095
0.548,4.095744,3.963491,0.15576
